league,reason
División de Honor Juvenil Inglaterra,no_id
División de Honor Juvenil Bélgica,no_id
1ª División Alemania,no_id
2ª RFEF España,no_id
2ª División Italia,no_id
1ª División Dinamarca,no_id
2ª División Colombia,no_id
División de Honor Juvenil Brasil,no_id
4ª División Italia,no_id
1ª División Suiza,no_id
1ª División Ucrania,no_id
1ª División Japón,no_id
1ª División Serbia,no_id
1ª División Chile,no_id
División de Honor Juvenil Portugal,no_id
2ª División Portugal,no_id
1ª RFEF España,no_id
Liga de Reservas Inglaterra,no_id
1ª División Noruega,no_id
1ª División Portugal,no_id
1ª División Angola,no_id
1ª División Polonia,no_id
1ª División Brasil,no_id
3ª División Italia,no_id
División de Honor Juvenil Italia,no_id
1ª División Arabia Saudí,no_id
División de Honor Juvenil Malí,no_id
División de Honor Juvenil Kenia,no_id
División de Honor Juvenil Japón,no_id
1ª División Uruguay,no_id
2ª División Brasil,no_id
División de Honor Juvenil Alemania,no_id
Liga U21 Italia,no_id
División de Honor Cadete Argentina,no_id
2ª División Alemania,no_id
División de Honor Juvenil República Checa,no_id
2ª División República Checa,no_id
Liga Nacional Juvenil España,no_id
1ª División Sudáfrica,no_id
2ª División Polonia,no_id
1ª División Finlandia,no_id
División de Honor Juvenil Polonia,no_id
1ª División Montenegro,no_id
1ª División Croacia,no_id
1ª División Georgia,no_id
División de Honor Juvenil Dinamarca,no_id
1ª División Argelia,no_id
División de Honor Juvenil Kazajistán,no_id
1ª División Venezuela,no_id
3ª División Inglaterra,no_id
1ª División Bosnia y Herzegovina,no_id
4ª División Bélgica,no_id
División de Honor Juvenil Marruecos,no_id
2ª División Rumanía,no_id
3ª División Polonia,no_id
1ª División Perú,no_id
2ª División Noruega,no_id
División de Honor Juvenil España,no_id
1ª División Eslovaquia,no_id
3ª RFEF España,no_id
1ª División Suecia,no_id
1ª División Albania,no_id
División de Honor Juvenil Tanzania,no_id
División de Honor Juvenil Francia,no_id
División de Honor Juvenil Argentina,no_id
División de Honor Juvenil Colombia,no_id
Liga Nacional Juvenil Francia,no_id
División de Honor Juvenil Estados Unidos,no_id
Liga de Reservas Argentina U23,no_id
1ª División Ecuador,no_id
División de Honor Juvenil Serbia,no_id
4ª División Suiza,no_id
2ª División Hungría,no_id
Liga Nacional Juvenil Alemania,no_id
División de Honor Juvenil Letonia,no_id
2ª División Suecia,no_id
1ª División Lituania,no_id
División de Honor Juvenil Georgia,no_id
División de Honor Juvenil Chipre,no_id
Sin Federar,no_id
4ª División Alemania,no_id
División de Honor Senior España,no_id
División de Honor Juvenil Senegal,no_id
División de Honor Juvenil Ghana,no_id
1ª División Bulgaria,no_id
1ª División Austria,no_id
2ª División Croacia,no_id
1ª División Rusia,no_id
División de Honor Juvenil Ucrania,no_id
2ª División Australia,no_id
3ª División República Checa,no_id
División de Honor Cadete Colombia,no_id
División de Honor Juvenil Suecia,no_id
5ª División Francia,no_id
División de Honor Montenegro,no_id
1ª División Estados Unidos,no_id
1ª División Hungría,no_id
1ª División Emiratos Árabes Unidos,no_id
3ª División Suiza,no_id
División de Honor Cadete Brasil,no_id
Liga Nacional Juvenil Italia,no_id
2ª División Austria,no_id
1ª División Colombia,no_id
4ª División Inglaterra,no_id
1ª División Estonia,no_id
3ª División Dinamarca,no_id
1ª División República Checa,no_id
4ª División Francia,no_id
Liga U21 Bélgica,no_id
2ª División Uzbekistán,no_id
División de Honor Juvenil Guinea,no_id
División de Honor Juvenil Austria,no_id
1ª División Cabo Verde,no_id
