club,posicion,demand_total_altas,demand_cesiones,demand_traspasos,demand_libres,demand_sub23,demand_recent,demand_minutos_sub23,temporadas_con_demanda,ultima_temporada_demanda,demand_score
CD Mirandés,Centrocampista,31,17,0,5,27,17,12876.0,5,2025-26,99.77
CD Mirandés,Delantero,24,19,0,1,16,13,3362.0,5,2025-26,97.95
CD Mirandés,Central,23,8,0,13,12,9,6303.0,5,2025-26,97.23
CD Mirandés,Extremo,23,19,0,1,21,9,3997.0,5,2025-26,97.23
CD Mirandés,Lateral,22,18,1,3,19,8,5648.0,5,2025-26,96.78
Real Zaragoza,Extremo,18,9,0,3,12,10,2223.0,5,2025-26,94.92
Málaga CF,Delantero,17,4,1,4,10,10,10966.0,4,2025-26,94.39
FC Andorra,Extremo,18,9,1,3,11,7,4396.0,3,2025-26,93.85
Sporting Gijón,Central,17,5,1,5,8,8,4914.0,5,2025-26,92.69
Sporting Gijón,Centrocampista,16,4,1,5,8,10,5075.0,5,2025-26,92.62
Albacete Balompié,Lateral,16,3,0,7,10,10,8898.0,5,2025-26,92.23
Racing Santander,Centrocampista,13,5,2,2,11,9,6718.0,4,2025-26,92.06
Real Zaragoza,Centrocampista,19,4,1,10,8,11,999.0,5,2025-26,91.33
SD Huesca,Delantero,18,6,2,5,9,7,1795.0,5,2025-26,90.69
Racing Santander,Delantero,15,7,2,2,8,7,3037.0,4,2025-26,90.55
FC Cartagena,Extremo,18,8,0,7,14,7,142.0,5,2025-26,90.15
Albacete Balompié,Centrocampista,15,3,1,7,9,10,2435.0,4,2025-26,89.15
Real Zaragoza,Lateral,15,4,1,4,8,7,2873.0,5,2025-26,88.28
Granada CF,Delantero,11,6,2,0,6,8,7346.0,4,2025-26,87.44
SD Huesca,Centrocampista,18,5,2,8,7,6,1516.0,5,2025-26,87.14
Burgos CF,Extremo,20,2,0,16,7,9,1586.0,5,2025-26,86.0
SD Huesca,Mediapunta,11,5,0,3,7,8,1718.0,4,2025-26,84.91
Málaga CF,Centrocampista,14,3,0,5,7,6,4725.0,4,2025-26,84.83
SD Huesca,Central,13,3,1,6,8,7,2668.0,5,2025-26,84.72
Burgos CF,Lateral,13,4,1,6,4,8,3702.0,5,2025-26,84.66
Real Zaragoza,Delantero,16,6,1,6,5,6,204.0,5,2025-26,83.67
Real Valladolid CF,Extremo,14,9,0,2,10,4,355.0,3,2025-26,82.47
Sporting Gijón,Extremo,13,9,1,0,8,4,1840.0,5,2025-26,82.33
Racing Santander,Central,12,2,1,4,7,7,5649.0,4,2025-26,81.87
CD Tenerife,Extremo,16,6,1,6,7,4,717.0,4,2024-25,81.66
Real Oviedo,Centrocampista,16,6,1,6,8,5,0.0,4,2024-25,81.16
Granada CF,Lateral,10,2,0,5,7,8,5806.0,3,2025-26,80.63
Burgos CF,Centrocampista,12,2,0,6,7,6,6495.0,5,2025-26,80.57
Real Zaragoza,Central,14,1,2,7,7,11,3034.0,4,2025-26,80.39
UD Las Palmas,Extremo,13,6,1,3,5,5,814.0,3,2025-26,80.14
Córdoba CF,Centrocampista,9,4,1,2,5,8,2891.0,3,2025-26,79.86
Cádiz CF,Extremo,11,1,2,2,9,11,6199.0,2,2025-26,79.71
SD Eibar,Mediapunta,11,2,1,6,6,7,4581.0,4,2025-26,79.41
SD Huesca,Extremo,14,3,1,5,7,5,176.0,5,2025-26,79.29
Real Valladolid CF,Delantero,14,1,2,4,8,8,2815.0,3,2025-26,79.19
Granada CF,Centrocampista,10,3,2,4,6,6,4253.0,3,2025-26,78.93
Albacete Balompié,Delantero,12,3,2,4,4,7,1065.0,4,2025-26,78.43
Real Valladolid CF,Central,11,4,1,4,7,4,3430.0,3,2025-26,78.3
SD Eibar,Lateral,12,2,1,3,7,6,2188.0,5,2025-26,78.22
CD Leganés,Central,13,3,2,5,4,5,3500.0,4,2025-26,78.22
FC Cartagena,Delantero,14,5,0,6,5,4,180.0,4,2024-25,77.49
CD Tenerife,Delantero,11,4,1,2,7,5,72.0,4,2024-25,77.24
UD Almería,Centrocampista,12,1,4,3,9,7,3884.0,3,2025-26,77.0
Cádiz CF,Central,8,2,2,2,6,8,5706.0,2,2025-26,76.31
Real Valladolid CF,Centrocampista,10,3,0,2,6,6,853.0,4,2025-26,76.13
UD Las Palmas,Delantero,12,4,1,4,6,4,712.0,3,2025-26,75.85
Granada CF,Extremo,10,2,1,4,5,7,1892.0,3,2025-26,75.03
FC Andorra,Lateral,13,6,0,5,6,4,0.0,3,2025-26,74.83
Racing Santander,Mediapunta,8,3,2,1,5,6,3775.0,4,2025-26,74.36
Sporting Gijón,Delantero,11,7,1,2,4,5,0.0,5,2025-26,73.3
FC Andorra,Centrocampista,11,1,1,5,10,5,5420.0,4,2025-26,73.25
Albacete Balompié,Central,12,2,1,7,3,8,15.0,4,2025-26,73.17
SD Eibar,Centrocampista,11,2,2,5,5,4,4548.0,5,2025-26,72.47
Cádiz CF,Lateral,8,1,1,1,7,8,5952.0,2,2025-26,72.09
FC Cartagena,Lateral,14,6,0,7,2,5,0.0,4,2024-25,71.75
CD Leganés,Delantero,12,7,0,4,4,2,2415.0,4,2025-26,71.6
Málaga CF,Extremo,14,1,0,8,5,5,1050.0,4,2025-26,70.37
Granada CF,Central,9,2,2,3,4,5,4150.0,3,2025-26,70.25
CD Eldense,Extremo,9,5,0,3,5,5,0.0,2,2024-25,70.14
Real Oviedo,Extremo,11,6,2,2,6,3,0.0,3,2024-25,69.73
Córdoba CF,Lateral,7,2,0,3,4,7,2257.0,2,2025-26,68.98
Real Valladolid CF,Lateral,9,1,2,2,5,7,2854.0,3,2025-26,68.72
Burgos CF,Central,10,3,0,7,3,6,0.0,5,2025-26,68.09
Elche CF,Delantero,8,4,1,0,4,4,397.0,2,2024-25,67.44
Burgos CF,Delantero,9,3,2,4,4,3,3451.0,5,2025-26,67.28
UD Las Palmas,Centrocampista,9,1,1,4,6,5,3907.0,3,2025-26,67.18
Sporting Gijón,Lateral,10,1,0,3,6,4,4789.0,4,2025-26,66.86
Real Oviedo,Lateral,12,3,2,5,5,3,0.0,4,2024-25,66.69
SD Eibar,Delantero,13,3,2,5,4,3,0.0,5,2025-26,66.49
CD Leganés,Centrocampista,14,1,2,9,4,4,795.0,4,2025-26,66.21
CD Leganés,Lateral,10,5,1,2,3,3,37.0,4,2025-26,65.98
CD Mirandés,Mediapunta,7,4,0,2,6,3,756.0,5,2025-26,65.41
CD Castellón,Centrocampista,7,2,0,4,2,7,2878.0,2,2025-26,65.22
Córdoba CF,Central,7,2,0,5,2,7,2782.0,2,2025-26,65.03
Cultural Leonesa,Extremo,7,2,0,2,4,5,1081.0,2,2025-26,64.62
Cultural Leonesa,Centrocampista,6,2,0,1,5,5,2339.0,2,2025-26,64.42
Deportivo de La Coruña,Extremo,7,1,2,1,4,7,2886.0,2,2025-26,64.32
UD Ibiza,Centrocampista,10,4,0,4,7,1,8.0,3,2024-25,64.18
SD Eibar,Central,12,2,0,9,2,5,0.0,5,2025-26,63.7
FC Cartagena,Central,10,3,0,5,3,3,59.0,4,2024-25,63.56
SD Ponferradina,Extremo,10,4,0,3,6,1,27.0,4,2024-25,63.54
UD Almería,Lateral,9,0,4,2,6,6,3746.0,4,2025-26,63.42
Cádiz CF,Delantero,6,2,0,2,4,6,250.0,2,2025-26,63.06
Racing Santander,Lateral,9,0,0,3,6,5,8891.0,4,2025-26,62.82
Levante UD,Delantero,8,2,3,1,5,3,1744.0,3,2024-25,62.77
FC Andorra,Portero,7,3,0,4,3,3,4106.0,3,2025-26,62.54
CD Leganés,Extremo,8,6,1,0,5,1,1049.0,3,2025-26,62.4
CD Castellón,Extremo,10,0,2,5,3,10,254.0,2,2025-26,62.1
Albacete Balompié,Extremo,10,1,3,6,4,4,1165.0,4,2025-26,62.01
AD Ceuta FC,Delantero,6,2,0,4,2,6,3297.0,1,2025-26,61.5
FC Cartagena,Centrocampista,16,3,0,11,2,1,16.0,4,2024-25,61.11
CD Tenerife,Central,10,1,1,7,3,5,73.0,5,2025-26,61.03
SD Huesca,Lateral,13,0,2,10,4,5,45.0,5,2025-26,60.98
FC Andorra,Central,7,1,1,4,5,4,4959.0,3,2025-26,60.94
CD Tenerife,Lateral,10,2,0,6,4,2,793.0,4,2024-25,60.9
Racing Santander,Extremo,9,3,0,4,4,2,42.0,3,2024-25,60.73
FC Andorra,Delantero,8,2,0,4,3,3,2600.0,3,2025-26,60.25
Levante UD,Lateral,10,1,1,3,6,3,27.0,3,2024-25,59.52
SD Eibar,Extremo,9,2,1,4,3,4,0.0,4,2024-25,59.25
FC Cartagena,Portero,7,3,0,3,3,3,100.0,4,2024-25,58.86
Córdoba CF,Mediapunta,5,2,0,3,3,5,2916.0,2,2025-26,58.57
FC Cartagena,Mediapunta,7,4,0,2,2,4,0.0,4,2024-25,58.0
Racing Ferrol,Extremo,8,3,0,5,2,4,0.0,2,2024-25,57.98
Deportivo de La Coruña,Central,6,1,1,1,3,6,2289.0,2,2025-26,57.88
CD Eldense,Delantero,6,1,1,4,4,4,2478.0,2,2024-25,55.57
Deportivo de La Coruña,Delantero,6,2,2,0,2,6,0.0,2,2025-26,55.38
Málaga CF,Lateral,9,3,0,3,4,1,0.0,3,2025-26,55.34
Deportivo de La Coruña,Centrocampista,6,1,2,2,2,6,890.0,2,2025-26,54.15
Cádiz CF,Centrocampista,6,0,0,1,3,6,4557.0,2,2025-26,53.94
Cultural Leonesa,Lateral,4,3,0,1,2,4,3249.0,1,2025-26,53.49
Elche CF,Centrocampista,7,3,1,2,3,2,0.0,2,2024-25,53.05
Elche CF,Extremo,5,2,0,2,2,4,1449.0,2,2024-25,52.34
AD Alcorcón,Delantero,9,3,0,4,5,0,0.0,2,2023-24,52.22
Real Oviedo,Delantero,8,4,1,3,1,2,0.0,4,2024-25,51.28
Racing Santander,Portero,5,1,1,1,4,4,717.0,2,2025-26,50.51
UD Almería,Central,8,2,2,1,0,4,0.0,2,2025-26,50.47
Sporting Gijón,Mediapunta,6,1,2,0,4,3,119.0,3,2025-26,50.29
Real Sociedad B,Central,4,2,0,0,4,3,901.0,2,2025-26,50.1
Cultural Leonesa,Central,4,1,0,1,3,4,6960.0,2,2025-26,49.46
Real Valladolid CF,Portero,5,3,0,0,2,2,1486.0,3,2025-26,49.41
Villarreal CF B,Central,6,2,0,0,6,0,1102.0,2,2023-24,49.04
Real Zaragoza,Mediapunta,6,1,0,2,3,3,233.0,3,2025-26,48.75
Córdoba CF,Delantero,7,0,0,5,2,7,0.0,2,2025-26,48.72
CD Tenerife,Centrocampista,9,1,0,7,2,3,0.0,4,2024-25,48.69
SD Amorebieta,Centrocampista,10,3,0,7,2,0,0.0,2,2023-24,48.41
Real Zaragoza,Portero,6,3,0,2,1,3,0.0,3,2025-26,48.3
CD Castellón,Lateral,5,0,2,2,3,5,2940.0,1,2025-26,47.89
CD Castellón,Delantero,5,1,3,1,3,5,0.0,2,2025-26,47.45
AD Alcorcón,Centrocampista,10,1,0,5,4,0,20.0,2,2023-24,47.11
CD Eldense,Centrocampista,8,1,0,6,2,3,0.0,2,2024-25,47.1
CD Mirandés,Portero,8,1,0,5,2,3,0.0,5,2025-26,47.1
Girona FC,Centrocampista,6,2,0,1,4,0,1399.0,2,2023-24,46.88
UD Almería,Delantero,5,1,1,2,2,4,901.0,3,2025-26,46.6
Villarreal CF B,Extremo,8,0,1,0,7,0,5529.0,3,2023-24,46.25
UD Las Palmas,Central,6,1,1,2,3,2,665.0,3,2025-26,46.14
UD Las Palmas,Lateral,5,1,2,0,4,2,1718.0,3,2025-26,45.92
Elche CF,Mediapunta,4,2,1,1,3,2,1181.0,2,2024-25,45.78
Elche CF,Central,6,1,1,3,3,3,0.0,2,2024-25,45.4
CD Eldense,Lateral,7,1,0,5,0,4,0.0,2,2024-25,43.6
SD Eibar,Portero,6,1,1,4,1,4,0.0,4,2025-26,43.2
Levante UD,Central,6,1,0,3,2,3,0.0,3,2024-25,42.95
SD Amorebieta,Extremo,6,4,0,2,2,0,0.0,2,2023-24,42.58
Real Oviedo,Mediapunta,6,2,0,2,2,1,0.0,3,2024-25,42.55
AD Ceuta FC,Extremo,5,1,0,2,1,5,0.0,1,2025-26,42.37
Deportivo de La Coruña,Lateral,5,1,1,2,1,5,0.0,2,2025-26,42.37
Burgos CF,Portero,8,1,0,6,0,3,0.0,5,2025-26,42.36
Racing Ferrol,Central,5,2,0,3,1,3,0.0,2,2024-25,42.24
AD Alcorcón,Mediapunta,6,1,0,4,3,1,25.0,3,2024-25,42.21
Deportivo Alavés,Extremo,5,1,0,1,4,1,822.0,3,2025-26,42.2
CD Eldense,Portero,5,2,0,3,2,2,0.0,2,2024-25,42.05
Villarreal CF B,Delantero,6,0,1,0,6,1,175.0,3,2024-25,41.55
Granada CF,Portero,5,1,2,1,1,3,1423.0,3,2025-26,41.54
Deportivo de La Coruña,Mediapunta,4,0,0,2,3,4,2073.0,2,2025-26,41.51
Levante UD,Extremo,5,0,1,2,3,2,5701.0,3,2024-25,41.06
SD Amorebieta,Central,6,2,0,3,3,0,0.0,2,2023-24,40.59
Villarreal CF B,Lateral,5,2,0,1,5,0,0.0,2,2023-24,40.42
Racing Ferrol,Delantero,6,1,0,4,1,3,0.0,2,2024-25,40.31
Racing Ferrol,Lateral,6,1,1,3,1,3,0.0,2,2024-25,40.31
CD Lugo,Lateral,5,1,0,3,3,1,147.0,3,2025-26,39.59
Elche CF,Lateral,4,1,1,1,3,2,107.0,2,2024-25,39.15
FC Andorra,Mediapunta,4,1,0,1,3,1,2061.0,3,2025-26,38.44
UD Ibiza,Central,6,2,0,3,2,0,0.0,2,2022-23,38.14
SD Amorebieta,Delantero,5,3,0,1,2,0,0.0,2,2023-24,37.61
Málaga CF,Central,7,0,0,6,1,3,0.0,4,2025-26,37.32
Albacete Balompié,Portero,5,1,0,3,1,3,0.0,4,2025-26,37.02
AD Ceuta FC,Centrocampista,4,1,0,2,1,4,0.0,1,2025-26,36.78
Real Sociedad B,Extremo,3,1,0,0,3,1,2809.0,2,2025-26,36.35
Córdoba CF,Extremo,3,1,0,1,2,2,1549.0,3,2025-26,35.8
CF Fuenlabrada,Centrocampista,9,0,0,6,3,0,0.0,1,2021-22,35.61
AD Alcorcón,Central,6,1,0,2,3,0,0.0,2,2023-24,35.36
Real Sociedad B,Lateral,3,1,1,0,3,1,1414.0,2,2025-26,35.22
Levante UD,Centrocampista,6,1,0,4,1,1,0.0,3,2024-25,34.68
SD Huesca,Portero,4,1,0,2,1,2,410.0,4,2025-26,34.59
CD Eldense,Central,5,1,0,4,1,2,0.0,2,2024-25,34.18
Real Sociedad B,Mediapunta,3,0,0,0,3,2,3136.0,2,2025-26,34.07
Cultural Leonesa,Mediapunta,3,1,0,0,2,2,74.0,2,2025-26,33.92
Málaga CF,Portero,4,1,0,2,2,1,97.0,3,2024-25,33.82
Levante UD,Portero,5,0,1,2,3,2,0.0,3,2024-25,33.77
UD Ibiza,Delantero,6,2,0,4,0,0,0.0,2,2022-23,33.4
UD Ibiza,Extremo,6,1,1,2,2,0,0.0,2,2022-23,32.92
Real Sociedad B,Centrocampista,4,0,1,0,3,1,1860.0,2,2025-26,32.83
CD Leganés,Mediapunta,5,0,0,3,1,2,875.0,3,2025-26,32.64
CD Lugo,Extremo,4,2,0,2,2,0,0.0,2,2022-23,31.72
CF Fuenlabrada,Extremo,4,2,0,2,2,0,0.0,1,2021-22,31.72
CD Tenerife,Mediapunta,4,1,1,0,3,0,63.0,2,2023-24,31.65
Levante UD,Mediapunta,3,1,0,1,2,1,176.0,3,2025-26,31.51
Cádiz CF,Mediapunta,4,0,3,1,1,4,0.0,2,2025-26,31.29
Deportivo Alavés,Centrocampista,4,1,0,2,2,0,1525.0,2,2023-24,31.17
Racing Ferrol,Mediapunta,3,2,0,1,1,1,0.0,2,2024-25,30.87
Girona FC,Delantero,2,1,0,0,2,1,2033.0,2,2024-25,30.62
Girona FC,Lateral,3,0,0,1,2,1,7835.0,2,2024-25,30.46
Villarreal CF B,Centrocampista,5,0,0,2,5,0,0.0,2,2023-24,29.7
CD Leganés,Portero,5,1,0,2,0,1,0.0,4,2025-26,29.28
CD Castellón,Central,4,0,1,2,0,4,0.0,2,2025-26,29.19
Cultural Leonesa,Delantero,3,1,0,2,0,3,0.0,1,2025-26,29.18
Deportivo de La Coruña,Portero,3,1,0,2,0,3,0.0,2,2025-26,29.18
Córdoba CF,Portero,2,0,0,2,2,2,3329.0,2,2025-26,29.02
SD Ponferradina,Mediapunta,3,1,0,1,3,0,19.0,2,2022-23,28.69
CD Tenerife,Portero,5,0,0,4,1,2,0.0,4,2024-25,28.68
Racing Ferrol,Centrocampista,3,0,0,3,2,3,0.0,1,2024-25,28.43
Real Oviedo,Portero,4,1,0,3,1,1,0.0,4,2024-25,28.26
RCD Espanyol Barcelona,Lateral,2,1,0,0,2,0,3463.0,1,2023-24,27.5
Real Sociedad B,Delantero,2,0,0,0,2,1,5478.0,2,2025-26,27.21
Deportivo Alavés,Delantero,2,1,0,0,1,1,997.0,2,2025-26,27.03
CD Lugo,Centrocampista,5,1,0,4,1,0,0.0,2,2022-23,26.98
SD Ponferradina,Centrocampista,5,1,0,3,1,0,0.0,2,2022-23,26.98
SD Ponferradina,Central,5,0,2,3,3,0,0.0,2,2022-23,26.57
SD Amorebieta,Lateral,4,1,0,3,2,0,0.0,2,2023-24,26.5
SD Ponferradina,Delantero,4,1,0,1,2,0,0.0,2,2022-23,26.5
UD Ibiza,Lateral,4,1,0,2,2,0,0.0,2,2022-23,26.5
Cádiz CF,Portero,2,0,0,1,1,2,3367.0,2,2025-26,26.45
CF Fuenlabrada,Portero,2,2,0,0,2,0,0.0,1,2021-22,26.38
UD Ibiza,Mediapunta,2,2,0,0,2,0,0.0,2,2022-23,26.38
UD Almería,Portero,3,0,1,1,1,3,0.0,2,2025-26,25.79
Real Valladolid CF,Mediapunta,3,1,0,1,1,1,0.0,3,2025-26,25.64
UD Almería,Extremo,3,1,1,1,1,1,0.0,2,2025-26,25.64
Racing Ferrol,Portero,4,0,0,4,1,2,0.0,2,2024-25,25.56
CD Lugo,Central,7,0,0,4,0,0,0.0,2,2022-23,25.18
CF Fuenlabrada,Delantero,3,2,0,1,0,0,0.0,1,2021-22,24.37
SD Ponferradina,Portero,5,0,0,5,2,0,0.0,2,2022-23,24.13
Villarreal CF B,Portero,2,1,0,0,2,0,97.0,1,2023-24,24.07
CF Fuenlabrada,Central,2,2,0,0,1,0,0.0,1,2021-22,23.74
CD Eldense,Mediapunta,2,1,0,0,0,2,0.0,1,2024-25,23.61
Deportivo Alavés,Lateral,2,1,0,0,2,0,14.0,2,2023-24,23.41
UD Almería,Mediapunta,2,0,0,2,1,1,2601.0,2,2024-25,22.94
Granada CF,Mediapunta,2,1,0,1,1,1,0.0,2,2024-25,22.92
AD Alcorcón,Lateral,4,1,0,3,0,0,0.0,2,2023-24,21.75
CD Lugo,Delantero,4,1,0,1,0,0,0.0,2,2022-23,21.75
AD Alcorcón,Portero,3,1,0,2,1,0,0.0,2,2023-24,21.24
Deportivo Alavés,Central,3,1,0,1,1,0,0.0,1,2022-23,21.24
Girona FC,Extremo,2,1,0,1,2,0,0.0,1,2021-22,21.16
UD Las Palmas,Mediapunta,2,0,0,1,1,1,74.0,2,2025-26,20.27
Cultural Leonesa,Portero,2,0,0,2,1,2,0.0,1,2025-26,20.22
UD Las Palmas,Portero,2,0,0,2,1,2,0.0,1,2025-26,20.22
AD Alcorcón,Extremo,3,1,0,2,0,0,0.0,2,2023-24,19.14
Sporting Gijón,Portero,3,1,0,2,0,0,0.0,3,2023-24,19.14
Albacete Balompié,Mediapunta,2,1,0,1,1,0,0.0,1,2022-23,18.51
SD Amorebieta,Portero,2,1,0,1,1,0,0.0,2,2023-24,18.51
UD Ibiza,Portero,2,1,0,1,1,0,0.0,2,2022-23,18.51
SD Ponferradina,Lateral,4,0,1,2,1,0,0.0,1,2022-23,18.36
AD Ceuta FC,Lateral,2,0,0,2,0,2,0.0,1,2025-26,18.12
CD Castellón,Portero,2,0,0,2,0,2,0.0,2,2025-26,18.12
RCD Espanyol Barcelona,Extremo,2,1,1,0,0,0,0.0,1,2023-24,16.41
Real Oviedo,Central,4,0,0,4,0,0,0.0,2,2022-23,16.26
RCD Espanyol Barcelona,Centrocampista,2,0,0,0,1,0,8.0,1,2023-24,15.22
Burgos CF,Mediapunta,1,1,0,0,0,0,0.0,1,2023-24,14.2
Málaga CF,Mediapunta,1,1,0,0,0,0,0.0,1,2022-23,14.2
AD Ceuta FC,Central,1,0,0,1,0,1,0.0,1,2025-26,13.11
CD Castellón,Mediapunta,1,0,0,1,0,1,0.0,1,2024-25,13.11
CD Lugo,Portero,2,0,0,2,1,0,0.0,2,2022-23,13.02
Deportivo Alavés,Mediapunta,2,0,0,1,1,0,0.0,1,2022-23,13.02
Elche CF,Portero,2,0,0,1,0,0,0.0,1,2023-24,10.92
Deportivo Alavés,Portero,1,0,0,0,1,0,0.0,1,2022-23,10.8
Villarreal CF B,Mediapunta,1,0,0,0,1,0,0.0,1,2022-23,10.8
CD Lugo,Mediapunta,1,0,0,1,0,0,0.0,1,2021-22,8.7
CF Fuenlabrada,Mediapunta,1,0,0,1,0,0,0.0,1,2021-22,8.7
Girona FC,Mediapunta,1,0,0,0,0,0,0.0,1,2021-22,8.7
RCD Espanyol Barcelona,Central,1,0,0,0,0,0,0.0,1,2023-24,8.7
RCD Espanyol Barcelona,Delantero,1,0,1,0,0,0,0.0,1,2023-24,8.7
