entrenador,jugadores_sub23_utilizados,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_mercado_medio_sub23,revalorizacion_media_sub23,temporadas_analizadas,valor_generado_sub23,clubes,posiciones_sub23_utilizadas,minutos_sub23_delanteros,minutos_sub23_extremos,minutos_sub23_mediocentros,minutos_sub23_centrales,minutos_sub23_laterales,minutos_sub23_porteros
Pako Ayestarán,18,31043.0,432.0,,29.0,33.05,437500.0,,2,0.0,Cádiz CF,Extremo 20%; Lateral 19%; Central 18%; Delantero 16%; Mediocentro 15%; Portero 12%,5058.0,6199.0,4557.0,5706.0,5952.0,3571.0
Óscar Gilsanz,7,21893.0,283.0,,44.0,46.04,4020000.0,,2,0.0,Deportivo de La Coruña,Mediocentro 30%; Extremo 28%; Central 27%; Delantero 15%,3258.0,6125.0,6583.0,5927.0,0.0,0.0
Rubén Albés,13,20519.0,345.0,,23.0,22.46,1218181.82,500000.0,3,500000.0,Albacete Balompié; Sporting Gijón; UD Almería,Mediocentro 51%; Lateral 29%; Central 13%; Extremo 6%,0.0,1307.0,10561.0,2707.0,5944.0,0.0
Julián Calero,9,19860.0,277.0,,28.0,28.58,1114285.71,,4,0.0,Burgos CF; Levante UD,Portero 30%; Extremo 29%; Delantero 23%; Mediocentro 18%,4592.0,5701.0,3552.0,0.0,0.0,6015.0
Diego Cocca,17,17745.0,256.0,,18.0,22.32,1266666.67,,2,0.0,Real Valladolid CF,Central 28%; Mediocentro 18%; Delantero 16%; Lateral 16%; Extremo 15%; Portero 7%,2890.0,2705.0,3181.0,4971.0,2838.0,1160.0
Gaizka Garitano,8,13865.0,234.0,,9.0,11.42,766666.67,-500000.0,5,-500000.0,SD Eibar,Mediocentro 66%; Lateral 34%,0.0,0.0,9206.0,0.0,4659.0,0.0
Borja Jiménez,6,12857.0,183.0,,29.0,29.52,1087500.0,37500.0,2,75000.0,CD Leganés,Delantero 42%; Central 40%; Extremo 17%; Lateral <1%,5456.0,2160.0,0.0,5204.0,37.0,0.0
David Gallego,7,12364.0,226.0,,19.0,15.31,912500.0,0.0,2,0.0,Sporting Gijón,Extremo 46%; Lateral 20%; Mediocentro 15%; Central 12%; Delantero 6%,796.0,5714.0,1834.0,1510.0,2510.0,0.0
Luis García Plaza,7,11214.0,152.0,,3.0,5.44,2366666.67,0.0,2,0.0,Deportivo Alavés; RCD Espanyol Barcelona,Lateral 50%; Mediocentro 29%; Extremo 21%,0.0,2340.0,3218.0,0.0,5656.0,0.0
Michel,5,10571.0,129.0,,3.0,7.47,8250000.0,,2,0.0,Girona FC,Central 51%; Lateral 36%; Mediocentro 13%,0.0,0.0,1380.0,5381.0,3810.0,0.0
Fran Escribá,5,8192.0,130.0,,13.0,9.92,300000.0,350000.0,1,350000.0,Granada CF,Central 51%; Delantero 26%; Extremo 23%,2150.0,1892.0,0.0,4150.0,0.0,0.0
Míchel Alonso,8,7335.0,136.0,,8.0,7.52,200000.0,,1,0.0,CD Mirandés,Mediocentro 62%; Central 22%; Delantero 15%; Extremo <1%,1106.0,14.0,4573.0,1642.0,0.0,0.0
Luis Carrión,2,5479.0,84.0,,5.0,8.16,2000000.0,,3,0.0,FC Cartagena; Real Oviedo,Mediocentro 50%; Extremo 50%,0.0,2721.0,2758.0,0.0,0.0,0.0
José Alberto,6,5171.0,104.0,,4.0,3.31,333333.33,,2,0.0,Burgos CF; Málaga CF,Mediocentro 67%; Extremo 33%,0.0,1690.0,3481.0,0.0,0.0,0.0
Miguel Álvarez,1,5058.0,77.0,,3.0,8.45,,,2,0.0,Villarreal CF B,Extremo 100%,0.0,5058.0,0.0,0.0,0.0,0.0
Iván Ania,3,4896.0,73.0,,5.0,6.93,250000.0,,1,0.0,Córdoba CF,Central 57%; Mediocentro 41%; Lateral 2%,0.0,0.0,2012.0,2782.0,102.0,0.0
Paulo Pezzolano,7,4322.0,61.0,,0.0,1.9,975000.0,,2,0.0,Real Valladolid CF,Central 47%; Portero 33%; Extremo 20%; Lateral <1%; Delantero <1%,15.0,851.0,0.0,2024.0,16.0,1416.0
Sebastián Beccacece,3,2809.0,48.0,,2.0,3.24,2000000.0,,1,0.0,Elche CF,Extremo 86%; Delantero 10%; Lateral 4%,281.0,2421.0,0.0,0.0,107.0,0.0
Ferran Costa,3,2705.0,67.0,,2.0,5.63,500000.0,,1,0.0,FC Andorra,Extremo 52%; Mediocentro 48%,0.0,1395.0,1310.0,0.0,0.0,0.0
Íñigo Vélez,2,2445.0,37.0,,2.0,1.54,1200000.0,,1,0.0,Racing Santander,Mediocentro 90%; Lateral 10%,0.0,0.0,2207.0,0.0,238.0,0.0
Asier Garitano,2,2312.0,57.0,,4.0,3.36,500000.0,,2,0.0,CD Leganés,Extremo 61%; Mediocentro 38%; Lateral 1%,0.0,1403.0,875.0,0.0,34.0,0.0
García Pimienta,3,1806.0,44.0,,1.0,0.62,725000.0,,2,0.0,UD Las Palmas,Lateral 95%; Mediocentro 4%; Delantero <1%,14.0,0.0,74.0,0.0,1718.0,0.0
Rubi,1,1520.0,33.0,,5.0,4.4,1800000.0,,1,0.0,UD Almería,Mediocentro 100%,0.0,0.0,1520.0,0.0,0.0,0.0
Óscar Cano,6,1319.0,28.0,,1.0,1.14,,,1,0.0,CD Tenerife,Lateral 60%; Extremo 34%; Delantero 5%; Mediocentro <1%,72.0,448.0,6.0,0.0,793.0,0.0
Víctor Fernández,7,1262.0,27.0,,0.0,0.38,400000.0,250000.0,2,250000.0,Real Zaragoza,Lateral 75%; Mediocentro 21%; Delantero 5%,57.0,0.0,264.0,0.0,941.0,0.0
Francisco Rodríguez,1,881.0,20.0,,1.0,2.07,2000000.0,,1,0.0,Elche CF,Extremo 100%,0.0,881.0,0.0,0.0,0.0,0.0
Eder Sarabia,2,733.0,22.0,,3.0,1.15,,,1,0.0,FC Andorra,Mediocentro 58%; Extremo 42%,0.0,307.0,426.0,0.0,0.0,0.0
Luis Miguel Ramis,4,729.0,26.0,,0.0,1.61,,,2,0.0,CD Tenerife,Extremo 91%; Mediocentro 9%,0.0,666.0,63.0,0.0,0.0,0.0
Sergio Pellicer,3,667.0,12.0,,0.0,0.01,,,1,0.0,CD Mirandés,Central 81%; Mediocentro 18%; Extremo <1%,0.0,2.0,123.0,542.0,0.0,0.0
Antonio Hidalgo,4,661.0,26.0,,0.0,0.16,200000.0,,2,0.0,SD Huesca,Extremo 45%; Central 27%; Mediocentro 20%; Delantero 8%,54.0,296.0,135.0,176.0,0.0,0.0
Pellicer,4,438.0,13.0,,2.0,0.58,150000.0,0.0,1,0.0,Málaga CF,Extremo 73%; Central 23%; Mediocentro 4%,0.0,320.0,17.0,101.0,0.0,0.0
Joan Francesc Ferrer Rubi,1,319.0,6.0,,0.0,0.04,,,1,0.0,UD Almería,Lateral 100%,0.0,0.0,0.0,0.0,319.0,0.0
Aitor Karanka,1,203.0,4.0,,1.0,0.13,,,1,0.0,Granada CF,Lateral 100%,0.0,0.0,0.0,0.0,203.0,0.0
Lluís Carreras,2,174.0,8.0,,0.0,0.5,,,1,0.0,Levante UD; Real Zaragoza,Delantero 84%; Lateral 16%,147.0,0.0,0.0,0.0,27.0,0.0
Nacho Ambriz,1,81.0,3.0,,0.0,0.04,,,1,0.0,SD Huesca,Mediocentro 100%,0.0,0.0,81.0,0.0,0.0,0.0
Abelardo Fernández,2,43.0,2.0,,0.0,0.0,350000.0,,1,0.0,Sporting Gijón,Lateral 74%; Mediocentro 26%,0.0,0.0,11.0,0.0,32.0,0.0
Alessio Lisci,1,21.0,1.0,,0.0,0.0,200000.0,,1,0.0,CD Mirandés,Mediocentro 100%,0.0,0.0,21.0,0.0,0.0,0.0
Jon Pérez Bolo,1,19.0,2.0,,0.0,0.0,,,1,0.0,SD Ponferradina,Mediocentro 100%,0.0,0.0,19.0,0.0,0.0,0.0
